,Movie Name,Story
64,36. Kaala Patthar (1979),"The common man’s exploitation by greedy industrialists is the theme of ‘Kaala Patthar’, which loosely references the 1975 Chasnala disaster in which 375 miners drowned. Amitabh Bachchan plays sullen loner Vijay, a disgraced naval officer who abandoned a sinking ship; Shashi Kapoor is clean-cut engineer Ravi; and Shatrugan Sinha is escaped convict Mangal. Despite Ravi’s protests, the mine owner sacrifices safety for profit, but when the mine is flooded the trio unites. ‘Kaala Patthar’ wears its proletarian heart on its sleeve."
65,35. Chak De! India (2007),"Between clever gangster movie ‘Ab Tak Chhappan’ (2004) and the grossly underrated ‘Rocket Singh: Salesman of the Year’ (2009), director Shimit Amin teamed up with writer Jaideep Sahni to give us this quintessential sports drama. The film narrates the story of a tainted ex-India hockey player (Khan) who coaches the women’s team to World Cup glory. While sticking to the underdog-overcomes-obstacles template, Amin and Sahni deftly weave in themes of cultural diversity, religious difference and feminism."
66,34. Ek Tha Tiger (2012),"Salman Khan adds a dash of cosmopolitan sophistication to his special brand of machismo with this story involving espionage and a love affair with an enemy agent (Kaif). As Tiger, Khan adheres to the muscle-man template, but he also struggles over questions of loyalty to his lady or his country – a complexity not always afforded to India’s defenders. This same dilemma is mirrored in Tiger’s colleague, Gopi (Shorey), who may have to rat out his friend."
67,33. Ankur (1974),"‘Ankur’ is the film that kickstarted an ‘arty-indie’ parallel film movement in Hindi cinema in the 1970s and early ’80s. Shyam Benegal’s directorial debut introduces Shabana Azmi (‘India’s Meryl Streep’) as Laxmi, the servant-wife of a deaf and dumb untouchable potter. Laxmi falls pregnant by bored middle-class student Surya (Nag) at his family’s holiday farmhouse. The rest of this admirable and realistic film explores the fallout from these events and bravely adopts a strong feminist stance. Gritty and political, this is an elegiac and essential rural melodrama."
68,32. Gol Maal (1979),"Where it all started. At least two generations of Indians will count this as the best homegrown comedy ever made, and with good reason. Hrishikesh Mukherjee’s immensely well-crafted comedy of double identities has Ramprasad (Amol Palekar) doubling up as his non-existent twin brother and wearing a fake moustache, just to convince his new boss Bhavani (Utpal Dutt) that it wasn’t him at a sports match. Throw in a couple of fake mums, the boss’s daughter who is in love with the other ‘brother’, a drunk Keshto Mukherjee and screenwriter Rahi Masoom Raza’s memorable lines, and this is a comedy for all seasons."
69,31. Barfi! (2012),"A success driven by word of mouth, ‘Barfi!’ observes the magical relationship between an autistic woman, Jhilmil (Chopra), and a deaf-mute guy, Barfi (Kapoor). The film has the air of a fairytale, and Kapoor’s twinkly-eyed, vividly expressive performance as the title character evokes Charlie Chaplin as well as his own grandfather, Raj Kapoor. ‘Barfi!’ announced Kapoor as a credible actor and rising superstar rather than just a pretty boy. He is the fourth generation of the Kapoor family to star in Hindi movies."
70,30. Prem Rog (1982),"Raj Kapoor tackles the controversial subject of widows remarrying with this stark critique of old-fashioned family and tenancy structures, all framed within a big, commercial movie. It’s held together by teenage actress Padmini Kolhapure, who is utterly convincing and sympathetic as the unlucky bride who discovers the true meaning of love. There are rough edges to ‘Prem Rog’ and some hammy acting, but ultimately its liberal and progressive stance wins you over."
71,29. Anand (1971),"Reigning superstar Rajesh Khanna plays the title character, whose days are numbered after he’s diagnosed with cancer. The film explores his relationship with his doctor, Bhaskar, played by a young Amitabh Bachchan (who would famously oust Khanna from the box-office top spot a few years later). Anand’s positive outlook on life and his playful demeanour is a lesson for those around him, even as Bhaskar, a more serious man, struggles with his inability to reverse Anand’s medical condition. Apart from the performances, the film is memorable for Salil Chowdhury’s score."
72,28. Silsila (1981),"Yash Chopra’s most infamous film is based on the alleged real-life affair between Bollywood’s biggest star, Amitabh Bachchan, and the ultimate diva, actress Rekha. Outrageously, Bachchan persuaded his actress wife, Jaya, to come out of retirement to play his screen wife and his alleged mistress, Rekha, to act in this silly film as his screen mistress. Chopra’s attempt to romanticise adultery via tuneful songs results in a somewhat sleazy film with a traditional cop-out ending. Today, it’s regarded as a flawed cult classic due to its controversial casting and tuneful soundtrack."
73,27. Zindagi Na Milegi Dobara (2011),"Translated as ‘You only live once’, this buddy-meets-mid-life-crisis movie sees three friends take a road trip in Spain: Arjun (Roshan) is a workaholic; Imraan (Farhan Akhtar) wants to track down his biological father; and Kabir (Deol) is unsure about his upcoming wedding. ‘Zindagi Na Milegi Dobara’ had a message for middle-class Indians living the new liberal dream with well-paid jobs: it’s okay not to conform or to have a happily-ever-after romance."
74,26. Shaan (1980),"Underrated excellence: Ramesh Sippy’s follow-up to his career-defining ‘Sholay’ (1975) rode in on high expectations and left many viewers underwhelmed. But this story of two conmen (Bachhan and Kapoor) mending their ways and collaborating with a sharpshooter (Shatrughan Sinha) to avenge the death of their cop brother at the hands of the dreaded Shakaal (Kharbanda, in a stunning debut) has aged very well. The cons are very original and the scale of the film extravagantly ambitious."
75,25. Parinda (1989),"The quintessential Bollywood crime film, ‘Parinda’ tells of street-kid brothers Kishen (Shroff) and Karan (Kapoor). When Karan returns after completing his education abroad, he realises his brother has become a gangster working for Anna (Patekar). Boasting of some fine editing by the late Renu Saluja and stellar sound design, the film came to be known for director Vidhu Vinod Chopra’s noir treatment, and all round brilliant acting."
76,24. Jab We Met (2007),"A winning second film from Imtiaz Ali, Jab We Met is the defining romantic comedy of a generation. Genuinely funny and heartwarming, it starts out as the classic story of the lost manchild, Aditya (Shahid Kapoor), encountering the female embodiment of joie de vivre, Geet (Kareena Kapoor), whose effervescent outlook changes his life. But before you can shout ‘manic pixie dream girl!’, their roles are reversed, with Geet’s heartbreak and subsequent descent into depression tended to by the newly go-getting Aditya. In effect, he must bring back to her the joy and zest she bequeathed to him."
77,23. Shree 420 (1955),"Lead actor and director Raj Kapoor modelled his on-screen persona in ‘Shree 420’ and other films after Charlie Chaplin’s Little Tramp. Here he plays Raj, who comes to Bombay to earn a living and falls in love with Vidya (Nargis). However, Raj’s need to make quick money leads him to collaborate with corrupt businessman Dharmanand (Nemo) and his associate, the temptress Maya (Nadira). The film reflected a general state of unrest among unemployed youth and an increasing class divide in the country at the time."
78,22. Om Shanti Om (2007),"A runaway hit on release, ‘Om Shanti Om’ achieved what other similar films before it had tried and largely failed to do – to satirise the idiosyncrasies of the Hindi film industry. ‘Om Shanti Om’ manages this while wearing the garb of a clichéd reincarnation story. Om (Khan) is a junior artist in love with superstar Shanti (Padukone) in the 1970s. Shanti, though, is in love with a wily producer, Mukesh Mehra (Rampal), who has her killed. In the present day, Om is now a superstar out to exact revenge on Mehra, now settled in Hollywood."
79,21. Dil To Pagal Hai (1997),"This musical romance and box-office hit explores the love lives of dancers in a musical troupe. There’s Rahul (Khan), who does not understand how two people can fall in love. Pooja (Dixit) believes in the idea of soulmates and lives by the statement that ‘someone, somewhere is made for you’. Lastly, we have Nisha and her belief that love starts as friendship and two good friends have the potential to love one another right to the end. ‘Dil To Pagal Hai’ is remembered as one of the late Yash Chopra’s best."
80,20. Awaara (1951),"Known as The Show Man, Raj Kapoor’s most famous film is a grand Oedipal melodrama exploring the nature-versus-nurture debate. Will a bandit’s son always end up a criminal? ‘Awara’ explores class division in newly independent India, which excludes the film’s lowly ‘tramp’ hero, Raj (Raj Kapoor), at every point. Its surprise success outside India – especially in the USSR, Africa, China, Greece and the West Indies – was directly responsible for introducing the world to mainstream Hindi cinema."
81,19. Andaz Apna Apna (1994),"Rajkumar Santoshi’s ‘Andaz Apna Apna’ brought together two young, up-and-coming superstars, but the resulting film was a box-office failure. Its cult has grown over the years, spawning fan clubs and websites and ensuring record television ratings time after time. Amar (Aamir Khan) and Prem (Salman Khan) are wastrels who both want to marry a rich heiress, but they become involved in a feud involving warring twin brothers and a buffoonish villain, Crime Master Gogo (Shakti Kapoor)."
82,18. Dil Chahta Hai (2001),"Before the dawn of India’s urban multiplex culture in the mid-2000s, director Farhan Akhtar made his debut with this coming-of-age tale about three Mumbai boys whose language reflected how regular people talked – a refreshing change from other Bollywood films of the time. Akhtar has never been able to better his first film, but with ‘Dil Chahta Hai’ he ushered in a style of storytelling that was new to Indian audiences, where everything from the dialogue and design to the music was subtle and realistic."
83,17. Satya (1998),"‘Satya’ was among a slew of gangster films that hit screens in the late ’90s, and director Ram Gopal Varma has lately come to be associated with the genre. The film tells of Satya (Chakravarty), who is unwittingly sucked into the world of Mumbai crime. What sets ‘Satya’ apart from other gangster films is the realistic portrayal of the criminals’ daily lives and Varma’s unrestrained, gloomy treatment of the subject. It’s considered one of his best films."
84,16. Mr India (1987),"Shekhar ‘Elizabeth’ Kapur’s most famous Bollywood film. Arun (Kapoor) becomes the invisible superhero Mr India, who uses his power to fight the evil Mogambo (Puri) who is intent on taking over the world. Stuffed with as many masala ingredients as possible, this is pure camp nonsense. But it’s told in such a cheeky kitsch way that the viewer surrenders to its sheer energy. ‘Mr India’ is huge fun, especially Mogambo’s catchphrase ‘Mogambo Khush Hua’ (‘Mogambo is happy’) which became a national craze."
85,15. Bombay (1995),"This poignant film covers one of the darkest periods in India’s contemporary history: the 1992 and 1993 Bombay riots. A love story about star-crossed lovers from different faiths who elope to Bombay to start a family, it proved so controversial on its release in 1995 that director Mani Ratnam’s house was bombed by extremists. Nevertheless, its heart, moral centre and cry for peace in India resonated, and ‘Mani Ratnam’ became a critical and commercial success."
86,14. Kaagaz Ke Phool (1959),"In a bizarre case of life imitating the movies, actor-director Guru Dutt died in an apartment in 1964 after allegedly consuming a concoction of sleeping pills and alcohol: his unsuccessful relationship with actor Waheeda Rehman was said to be one of the things that caused him to fall into depression. Six years earlier, Dutt made ‘Kaagaz Ke Phool’, in which he played a director who falls in love with a film actress (played by Rehman). The film ended with Dutt’s character – a dejected filmmaker – dying in his chair at a film studio."
87,13. 3 Idiots (2009),"‘3 Idiots’ charts the japes and scrapes of three students at India’s top engineering university (the film was shot in Bangalore). Along the way, this coming-of-age comedy addresses ‘ragging’ (initiation rituals), the intense pressure to excel in education, student suicide and the tension between the ambitions of students and their parents. ‘3 Idiots’ was a huge hit and confirmed Aamir Khan as the master of balancing good old-fashioned family entertainment with meaningful messages."
88,12. Jaane Bhi Do Yaaro (1983),"Loosely inspired by Michelangelo Antonioni’s 1966 film ‘Blow-Up’, ‘Jaane Bhi Do Yaaro’ (‘Who Pays the Piper’) tells of two Mumbai photographers, Vinod (Shah) and Sudhir (Baswani), who unwittingly take a picture of a corrupt businessman (Kapur) killing a government official. The two discover the dead body and fight to ensure that it doesn’t end up in the hands of a motley group – the killer, his competitor, his two associates and a journalist, all of whom have vested interests in the case."
89,11. RRR (2022),"Believe it or not, this massive action extravaganza and even bigger box-office hit is actually based on two real-life historical figures during the British rule in India. Director SS Rajamouli does give their lives a fully fictionalised and highly bombastic skew, imbuing the men with superhuman powers, fighting against (and, for good measure, with) a myriad of CG animals, as well as the evil Brits, and throws in some musical bangers and some top-notch dance choreography for good measure. The story revolves around tribal leader Komaram Bheem (NT Rama Rao Jr), the protector of a village and its children, and his bromance with A Rama Raju (Ram Charan), a policeman with a hidden identity. They work together to save Malli, the daughter of Loki (not the God of Mischief, but a tribal Indian mum), who is forcefully taken from a forest as a trophy for a colonial wife and her brutal husband, the governor of the district. Cue, well, total mayhem. "
90,10. Amar Akbar Anthony (1977),"The escapist formula honed by director Manmohan Desai (‘Dharam Veer’, Roti’) peaked with this late 1970s film about three brothers – each named in the title – separated at birth. Brimming with clichés and implausible situations, ‘Amar Akbar Anthony’ set the commercial template that many modern Bollywood filmmakers continue to follow. Thirty-five-year-old Amitabh Bachchan, the film’s star, defied his Angry Young Man image – created by a string of sombre action dramas – with his largely comical role."
91,9. Pakeezah (1972),"Lucknow, 1900. Sahibjaan (Kumari) is a ‘dancing girl’ who marries the respectable Salim (R Kumar), despite his dad’s disapproval. Sahibjaan soon considers herself unworthy of her husband and runs away. Will the lovers be reunited and will ‘respectable society’ accept them? Fifteen years in the making (not helped by personal differences between the director and his leading lady, also his wife), this has an evocative soundtrack which is weaved seamlessly into the story, creating perhaps the most magical, lyrical portrayal of idealised erotic romance seen on the Indian screen. The title means ‘Pure’."
92,8. Lagaan (2001),"Set in the nineteenth century, ‘Lagaan’ sees a drought-struck village unite, learn to play cricket and take on their cruel imperial rulers. Although the combination of cricket and colonialism seems like a no-brainer in retrospect, at first nobody would touch this script with a bat. Then star Aamir Khan took the lead role and its critical and box office success ushered in a new era of alternative subject matter and varied storytelling. ‘Lagaan’ is, thus far, the last mainstream Hindi film to be nominated for Best Foreign Language Film at the Oscars."
93,7. Deewaar (1975),"Evoking ‘Mother India’ with its story of a good son pitched against a bad one and a mother caught between them, ‘Deewaar’ places an anti-hero centrestage. Amitabh Bachchan excels as the simmering Vijay, who turns to criminality to provide for his mum, while brother Ravi (Kapoor) becomes a cop. Inevitably, their paths must cross. ‘Deewaar’ was Bachchan’s first step on the road to mega-stardom and it epitomises his status as the bristling, angry young man railing against all around him."
94,6. Guide (1965),"Director Vijay Anand adapts RK Narayan’s English-language novel into a sprawling drama. ‘Guide’ tells of a man, Raju, who transforms from a tour guide in his youth into a great holy man later in life. The film is considered ahead of its time for showing its protagonists, Raju (Anand) and Rosie (Rehman), having an extra-marital affair, and also for presenting its lead character as an unscrupulous scumbag. Both were deeply unusual in a Hindi film of the time."
95,5. Pyaasa (1957),"Filmmaker Guru Dutt, known for bringing tragic stories to celluloid, plays Vijay, a struggling writer whose two best friends happen to be a streetwalker and a masseuse. Vijay tries unsuccessfully to get his book of poems published and is later believed to have died in a train accident. A cunning publisher prints the book and makes a killing. Maestro composer SD Burman provides a stellar soundtrack, memorable for Sahir Ludhianvi’s poetic verses. With ‘Pyaasa’, Dutt established himself as a filmmaker who could effectively depict the reality of the world around him."
96,4. Dilwale Dulhania Le Jayenge (1995),"Familiar themes of personal choice versus family responsibility, and of forbidden love, are remixed for the 1990s in this epic, era-defining romance. In London, Raj (Khan) is an immature young man, while straight-laced Simran (Kajol) is all set for a marriage arranged by her domineering father. She goes InterRailing in Europe, meets Raj and they fall in love against the backdrop of Swiss mountains. The popularity of the film (the title translates as ‘The brave-hearted will take away the bride’) is reflected in the fact that it has screened daily in Mumbai’s Maratha Mandir cinema for 19 years and counting. This ultimate romance also raised the bar impossibly high for guys chasing girls."
97,3. Mother India (1957),"The first Hindi film to be nominated for Best Foreign-Language Film at the Oscars, this is a heartbreaking story of the complexities of rural farming in newly independent India and the exploitation of farmers by their feudal landlords. It follows the hardships faced by Radha (Nargis), a village mother of three sons who is abandoned by her husband and forced to toil the paddy fields to survive. The film entrenched the idea of the pure, self-sacrificing mother figure as synonymous with the notion of an idealised Indian (Hindu) nation."
98,2. Mughal-e-Azam (1960),"Translated as ‘Emperor of the Mughals’ and set in the late sixteenth century in India’s Mughal period, this is the doomed story of Prince Saleem (Kumar), son of the ruling Emperor Akbar (Kapoor), who falls in love with dancing slave girl Anarkali (Madhubala). This is true epic filmmaking, with magnificent sets, huge battle scenes with hundreds of real elephants, elaborate costumes, an evergreen score and naturalistic acting. It remains a gorgeous evocation of a bygone era, and was one of the rare occasions when a film of the ‘Muslim social’ genre (i.e. interested in Muslim people and culture) became a blockbuster in Hindu-centric India."
99,empty,"This cult masala western sees escaped convicts Veeru (Dharmendra) and Jai (Bachchan) defend a village terrorised by bandits led by the maniacal Gabbar Singh (Khan). ‘Sholay’ has it all – epic dishum-dishum fight scenes, bromance, humour, memorable songs, plot twists, thrilling dance sequences and sparkling performances. The haunting score and Bollywood’s baddest villain are the icing on a rollicking, all-action cake."
